Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A871586,,1/3/2023 17:29,23-Jan,11/1/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A870093,Bocephus,1/3/2023 17:31,23-Jan,6/1/2021,Adoption,,Dog,Neutered Male,1 year,Dogo Argentino Mix,White/Black
A871609,Bonnie,1/3/2023 17:33,23-Jan,10/17/2022,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Black/Brown
A871601,,1/3/2023 17:36,23-Jan,7/27/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black
A871207,*Buddy,1/3/2023 17:41,23-Jan,12/21/2021,Adoption,,Dog,Neutered Male,1 year,Alaskan Husky/German Shepherd,Black/Tan
A871682,Noah,1/3/2023 17:42,23-Jan,8/28/2022,Return to Owner,,Dog,Neutered Male,4 months,Labrador Retriever,Black
A871610,A871610,1/3/2023 17:49,23-Jan,7/27/2022,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,White/Brown
A870275,Bruno,1/3/2023 18:00,23-Jan,12/3/2021,Adoption,,Dog,Neutered Male,1 year,German Shepherd,Black/Tan
A871643,Moka,1/3/2023 18:04,23-Jan,10/12/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A871242,*Kimi,1/3/2023 18:10,23-Jan,12/21/2021,Adoption,,Cat,Intact Male,1 year,Domestic Longhair,Blue
A870723,*Rue,1/3/2023 18:20,23-Jan,12/11/2021,Adoption,,Dog,Spayed Female,1 year,Belgian Malinois,Tan/Black
A868642,*Patsy,1/3/2023 18:20,23-Jan,6/22/2022,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair,Torbie/White
A871325,*Sparkle,1/3/2023 18:42,23-Jan,11/1/2022,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever/Australian Cattle Dog,White/Black
A870225,Anya,1/3/2023 19:04,23-Jan,12/2/2020,Adoption,,Dog,Spayed Female,2 years,Siberian Husky Mix,Tan/White
A871651,,1/4/2023 9:00,23-Jan,12/27/2021,Transfer,Partner,Other,Unknown,1 year,Guinea Pig,White/Black
A871649,,1/4/2023 9:00,23-Jan,12/27/2021,Transfer,Partner,Other,Unknown,1 year,Guinea Pig,Calico
A871650,,1/4/2023 9:00,23-Jan,12/27/2021,Transfer,Partner,Other,Unknown,1 year,Guinea Pig,Calico
A870972,*The Grinch,1/4/2023 10:44,23-Jan,5/16/2022,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair,Black/White
A870854,Celia,1/4/2023 12:24,23-Jan,8/30/2022,Adoption,,Dog,Spayed Female,4 months,Black Mouth Cur Mix,Brown/White
A860880,Hulk,1/4/2023 12:28,23-Jan,7/5/2019,Adoption,Foster,Dog,Neutered Male,3 years,Australian Cattle Dog/Siberian Husky,Tan/White
A870755,Malika,1/4/2023 12:40,23-Jan,9/12/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Cream Tabby
A871628,Reginald,1/4/2023 12:42,23-Jan,12/27/2019,Transfer,Partner,Cat,Unknown,3 years,Domestic Shorthair,Brown Tabby
A869339,*Moose,1/4/2023 12:43,23-Jan,11/16/2020,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby
A866672,*Woody,1/4/2023 13:08,23-Jan,3/4/2022,Adoption,Foster,Cat,Neutered Male,10 months,Domestic Shorthair,Brown Tabby/White
A871636,A871636,1/4/2023 13:16,23-Jan,12/27/2020,Transfer,Partner,Dog,Intact Female,2 years,Miniature Schnauzer/Chihuahua Longhair,Black
A871999,Jax,1/4/2023 13:20,23-Jan,1/3/2021,Return to Owner,,Dog,Intact Male,2 years,Alaskan Malamute/German Shepherd,Black/Tan
A868067,Sandy,1/4/2023 13:32,23-Jan,11/6/2019,Adoption,,Dog,Spayed Female,3 years,English Coonhound Mix,Tan/White
A871452,Bomber,1/4/2023 13:45,23-Jan,7/13/2016,Return to Owner,,Cat,Intact Male,6 years,Domestic Shorthair,Orange
A872069,Sunny,1/4/2023 13:45,23-Jan,1/3/2021,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby/White
A871451,Miss Kitty,1/4/2023 13:46,23-Jan,12/23/2020,Return to Owner,,Cat,Spayed Female,2 years,Domestic Medium Hair,Black
A867269,*Lilac,1/4/2023 13:46,23-Jan,8/10/2022,Transfer,Partner,Cat,Spayed Female,4 months,Ragdoll,Lilac Point
A871428,A871428,1/4/2023 13:46,23-Jan,11/5/2022,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A863750,*Pearl,1/4/2023 13:46,23-Jan,3/16/2022,Transfer,Partner,Dog,Spayed Female,9 months,Labrador Retriever Mix,White
A870692,Kava,1/4/2023 13:51,23-Jan,12/30/2013,Transfer,Partner,Dog,Neutered Male,9 years,Chihuahua Shorthair,Chocolate/White
A859828,Soy Sauce,1/4/2023 15:54,23-Jan,6/20/2020,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
A870265,Lucky,1/4/2023 15:58,23-Jan,12/22/2019,Adoption,,Dog,Neutered Male,3 years,Basset Hound,Tricolor
A871329,*Jolly,1/4/2023 16:17,23-Jan,11/1/2022,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever/Australian Cattle Dog,Brown/White
A871758,Pixie,1/4/2023 16:33,23-Jan,10/29/2022,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair,Calico/Orange
A871599,A871599,1/4/2023 16:43,23-Jan,10/12/2022,Adoption,,Dog,Neutered Male,2 months,Miniature Schnauzer Mix,Black/Tan
A871606,Sir Kit,1/4/2023 17:23,23-Jan,10/17/2022,Adoption,,Dog,Intact Female,2 months,German Shepherd Mix,Black/Brown
A869744,*Brisbane,1/4/2023 17:28,23-Jan,10/23/2022,Adoption,Foster,Dog,Spayed Female,2 months,Australian Shepherd Mix,Brown Merle/White
A871709,Angel,1/4/2023 17:30,23-Jan,8/28/2022,Adoption,,Dog,Spayed Female,4 months,Border Collie Mix,Black/Tricolor
A869823,*Min,1/4/2023 17:54,23-Jan,11/26/2021,Adoption,,Dog,Spayed Female,1 year,Pit Bull/Chinese Sharpei,Black/White
A871765,Olive,1/4/2023 18:03,23-Jan,7/29/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Brown Tabby
A871575,*Pickle,1/4/2023 18:12,23-Jan,6/27/2022,Adoption,,Dog,Neutered Male,6 months,Australian Cattle Dog,Blue Tick
A871766,,1/4/2023 18:18,23-Jan,7/29/2022,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Black
A871761,,1/4/2023 18:35,23-Jan,10/29/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby
A871386,Apollo,1/4/2023 19:02,23-Jan,10/23/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown
A867296,*Scrunchy,1/5/2023 0:00,23-Jan,5/14/2022,Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair,Brown Tabby/White
A872132,,1/5/2023 0:00,23-Jan,11/4/2022,Transfer,Partner,Other,Unknown,2 months,Rabbit Sh,Brown
A866065,*Scarlett,1/5/2023 8:50,23-Jan,3/23/2022,Adoption,Foster,Cat,Spayed Female,9 months,Domestic Shorthair,Brown Tabby
A865528,*Greyjoy,1/5/2023 8:52,23-Jan,9/12/2015,Adoption,Foster,Cat,Neutered Male,7 years,Domestic Shorthair,Brown Tabby
A871430,,1/5/2023 10:36,23-Jan,11/5/2022,Adoption,Foster,Dog,Neutered Male,1 month,Dachshund Wirehair Mix,Black
A871757,,1/5/2023 10:37,23-Jan,7/29/2022,Transfer,Partner,Dog,Intact Male,5 months,Beagle Mix,White/Tricolor
A871429,,1/5/2023 10:40,23-Jan,11/5/2022,Adoption,Foster,Dog,Spayed Female,1 month,Dachshund Mix,Brown/Black
A870304,,1/5/2023 10:43,23-Jan,9/24/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby
A870303,,1/5/2023 10:47,23-Jan,9/24/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A870302,,1/5/2023 10:55,23-Jan,9/24/2022,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Black
A867718,Rocky,1/5/2023 11:31,23-Jan,10/23/2020,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull,Tan
A867621,Kronos,1/5/2023 11:31,23-Jan,10/21/2020,Transfer,Partner,Dog,Intact Male,2 years,Pit Bull,Blue/White
A871288,A871288,1/5/2023 13:00,23-Jan,10/12/2022,Adoption,,Dog,Spayed Female,2 months,Pointer Mix,Brown/White
A872026,A872026,1/5/2023 13:28,23-Jan,1/3/2021,Transfer,Partner,Dog,Intact Male,2 years,Shih Tzu,White/Tan
A871600,A871600,1/5/2023 13:42,23-Jan,10/12/2022,Adoption,,Dog,Neutered Male,2 months,Miniature Schnauzer Mix,Black/Tan
A850937,Catsby,1/5/2023 13:56,23-Jan,8/2/2014,Transfer,Partner,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
A868674,*Spike,1/5/2023 14:01,23-Jan,11/7/2020,Adoption,,Dog,Neutered Male,2 years,German Shepherd,Black/Tan
A871445,Onyx,1/5/2023 15:46,23-Jan,12/24/2018,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Black/White
A871801,,1/5/2023 15:59,23-Jan,8/15/2022,Adoption,,Dog,Neutered Male,4 months,Jack Russell Terrier/Chihuahua Shorthair,White/Tan
A871805,Sushi,1/5/2023 16:10,23-Jan,5/30/2022,Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair,Black
A872147,Shogun,1/5/2023 16:14,23-Jan,1/5/2022,Return to Owner,,Dog,Intact Male,1 year,Catahoula Mix,Blue Merle
A871767,Smokey,1/5/2023 16:22,23-Jan,11/11/2022,Adoption,,Dog,Neutered Male,1 month,Dachshund/Chihuahua Shorthair,Black
A871768,,1/5/2023 16:22,23-Jan,11/11/2022,Adoption,,Dog,Neutered Male,1 month,Dachshund/Chihuahua Shorthair,Black
A854104,Echo,1/5/2023 16:38,23-Jan,3/30/2020,Adoption,,Dog,Neutered Male,2 years,Siberian Husky,Black/White
A871816,*Champagne,1/5/2023 16:39,23-Jan,6/30/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,White/Orange Tabby
A871819,*Caviar,1/5/2023 16:40,23-Jan,6/30/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Black
A871985,Sofie,1/5/2023 17:19,23-Jan,11/9/2022,Adoption,,Dog,Spayed Female,1 month,Dachshund Mix,Black/Tricolor
A872145,Lulu,1/5/2023 17:23,23-Jan,1/4/2019,Return to Owner,,Cat,Spayed Female,4 years,Domestic Shorthair,Blue
A869783,Smokey,1/5/2023 17:31,23-Jan,11/25/2020,Adoption,,Dog,Neutered Male,2 years,Belgian Malinois,Black/Tan
A871791,A871791,1/5/2023 17:40,23-Jan,6/30/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Blue/White
A870213,*Zenith,1/5/2023 17:46,23-Jan,10/2/2022,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A867489,Nico,1/5/2023 17:58,23-Jan,1/18/2022,Adoption,,Dog,Neutered Male,11 months,Pit Bull/German Shepherd,Black/Tan
A870090,Chipmunk,1/5/2023 18:14,23-Jan,5/30/2021,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Brown Tabby
A872054,Ivy,1/5/2023 18:23,23-Jan,1/3/2022,Return to Owner,,Dog,Intact Female,1 year,Cairn Terrier,White
A872053,Canelo,1/5/2023 18:23,23-Jan,1/3/2022,Return to Owner,,Dog,Intact Male,1 year,Cairn Terrier,White
A871376,Tara,1/5/2023 18:42,23-Jan,11/7/2022,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown/White
A858665,*Emma,1/5/2023 18:52,23-Jan,6/1/2020,Adoption,,Dog,Spayed Female,2 years,Plott Hound Mix,Brown Brindle/White
A872028,Mars,1/5/2023 18:58,23-Jan,10/27/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A871947,Reya,1/5/2023 19:20,23-Jan,5/2/2015,Adoption,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Tan/White
A872090,Baby,1/6/2023 11:32,23-Jan,1/6/2020,Return to Owner,,Other,Intact Female,3 years,Snake/Python,Brown/Black
A872087,Run Run,1/6/2023 11:38,23-Jan,1/4/2022,Return to Owner,,Dog,Intact Male,1 year,Pit Bull,Blue/White
A871795,A871795,1/6/2023 12:31,23-Jan,12/31/2020,Transfer,Partner,Dog,Intact Male,2 years,Yorkshire Terrier,Brown/Black
A871178,Panda Bear,1/6/2023 13:07,23-Jan,1/20/2022,Adoption,,Dog,Neutered Male,11 months,Pit Bull Mix,Black/White
A869469,Lobo,1/6/2023 14:22,23-Jan,12/18/2021,Adoption,,Dog,Neutered Male,1 year,German Shepherd,Brown/Black
A870115,Benny,1/6/2023 14:23,23-Jan,7/17/2022,Adoption,,Dog,Neutered Male,5 months,Labrador Retriever Mix,Brown/White
A870096,*Thyme,1/6/2023 15:07,23-Jan,10/16/2022,Adoption,Foster,Dog,Neutered Male,2 months,Australian Cattle Dog/Labrador Retriever,Tan/White
A870091,Milo,1/6/2023 15:11,23-Jan,5/30/2021,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair,Blue
A871752,*Jasmine,1/6/2023 15:11,23-Jan,12/29/2019,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair,Black
A871753,*Aladdin,1/6/2023 15:12,23-Jan,12/29/2019,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair,Black
A872103,Luna,1/6/2023 15:12,23-Jan,1/4/2021,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Black
A872102,Penny,1/6/2023 15:13,23-Jan,1/4/2021,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby/White
A745621,Bean,1/6/2023 15:14,23-Jan,10/21/2016,Transfer,Partner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black
A868784,Lila,1/6/2023 15:41,23-Jan,11/8/2020,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Brown Tabby/White
A872027,Toast,1/6/2023 16:05,23-Jan,10/27/2022,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Tortie
A871326,Bruno,1/6/2023 16:27,23-Jan,11/1/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Australian Cattle Dog,White/Black
A872055,Blue,1/6/2023 16:33,23-Jan,8/3/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black
A872056,Bootsie,1/6/2023 16:33,23-Jan,8/3/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black/White
A871608,Winter,1/6/2023 16:43,23-Jan,10/17/2022,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Yellow/White
A871631,Draco,1/6/2023 16:55,23-Jan,10/24/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A871830,Gatsby,1/6/2023 17:08,23-Jan,12/30/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Gray Tabby
A868813,A868813,1/6/2023 17:27,23-Jan,9/18/2022,Adoption,Foster,Cat,Neutered Male,3 months,Siamese,Lynx Point
A868785,A868785,1/6/2023 17:27,23-Jan,9/28/2022,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby
A871877,,1/6/2023 17:28,23-Jan,10/24/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever,Black
A871576,Cody,1/6/2023 17:28,23-Jan,12/27/2018,Return to Owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Brown/White
A871375,Addie,1/6/2023 17:42,23-Jan,11/7/2022,Adoption,,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown Brindle
A872006,Kaine,1/6/2023 17:56,23-Jan,7/6/2020,Return to Owner,,Dog,Intact Male,2 years,Rottweiler,Black/Brown
A872186,Blanca,1/6/2023 18:04,23-Jan,1/5/2021,Return to Owner,,Dog,Intact Female,2 years,Alaskan Husky Mix,White/Black
A868960,*Prince,1/6/2023 18:05,23-Jan,6/10/2022,Adoption,,Dog,Neutered Male,6 months,Feist Mix,Black/White
A872187,Lobo,1/6/2023 18:05,23-Jan,1/5/2021,Return to Owner,,Dog,Intact Male,2 years,Alaskan Husky Mix,White/Brown
A871754,Rain Lily,1/6/2023 18:51,23-Jan,6/29/2021,Adoption,,Dog,Spayed Female,1 year,Border Collie,Tricolor
A841289,Pequeno,1/7/2023 0:00,23-Jan,6/3/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Black/White
A866653,*Fudge,1/7/2023 9:55,23-Jan,6/4/2022,Adoption,Foster,Cat,Spayed Female,7 months,Domestic Shorthair,Black
A866650,*Toffee,1/7/2023 9:55,23-Jan,6/4/2022,Adoption,Foster,Cat,Neutered Male,7 months,Domestic Shorthair,Brown Tabby
A869730,*Delia,1/7/2023 10:04,23-Jan,11/3/2022,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Sable/White
A868958,*Draper,1/7/2023 10:08,23-Jan,6/10/2022,Adoption,Foster,Dog,Neutered Male,6 months,Australian Cattle Dog Mix,Brown/White
A869728,*Doni,1/7/2023 10:17,23-Jan,11/23/2020,Adoption,Foster,Dog,Neutered Male,2 years,Dachshund/Labrador Retriever,Tan/White
A870205,Luna,1/7/2023 12:01,23-Jan,12/2/2020,Adoption,,Dog,Spayed Female,2 years,Siberian Husky,Black/Tricolor
A872074,,1/7/2023 12:44,23-Jan,1/3/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A790747,Rico Suave,1/7/2023 13:31,23-Jan,3/15/2016,Adoption,,Dog,Neutered Male,6 years,American Bulldog Mix,Fawn/White
A870076,Callie,1/7/2023 13:47,23-Jan,11/30/2008,Rto-Adopt,,Cat,Spayed Female,14 years,Domestic Shorthair,Calico
A871603,Chance,1/7/2023 14:00,23-Jan,10/17/2022,Adoption,,Dog,Intact Male,2 months,Australian Shepherd Mix,Tricolor
A872278,A872278,1/7/2023 14:02,23-Jan,7/7/2019,Transfer,Partner,Dog,Intact Female,3 years,Dachshund/Pit Bull,Blue/White
A872276,,1/7/2023 14:03,23-Jan,7/22/2022,Transfer,Partner,Dog,Intact Male,5 months,Great Pyrenees,White
A871605,A871605,1/7/2023 14:15,23-Jan,10/17/2022,Adoption,,Dog,Spayed Female,2 months,Australian Shepherd Mix,White
A870476,,1/7/2023 14:27,23-Jan,10/30/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A871550,*Jan,1/7/2023 14:30,23-Jan,12/27/2021,Adoption,,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black
A866347,*Wilma,1/7/2023 14:34,23-Jan,9/28/2016,Adoption,Foster,Dog,Spayed Female,6 years,German Shepherd,Tan/Black
A869731,*Pia,1/7/2023 14:43,23-Jan,11/3/2022,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Tan/White
A869732,*Ellie,1/7/2023 14:56,23-Jan,11/3/2022,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull Mix,Tan/White
A872075,,1/7/2023 15:00,23-Jan,1/3/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Flame Point
A871946,,1/7/2023 16:03,23-Jan,1/2/2018,Transfer,Partner,Dog,Intact Male,5 years,Miniature Poodle,Cream
A870510,,1/7/2023 16:06,23-Jan,10/31/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,White/Silver Tabby
A870841,*Bowser,1/7/2023 16:13,23-Jan,12/13/2021,Adoption,,Dog,Neutered Male,1 year,German Shepherd,Black/Brown
A871047,*Nori,1/7/2023 17:29,23-Jan,9/2/2022,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A871050,*Goma,1/7/2023 17:30,23-Jan,9/2/2022,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
A870910,Balto,1/7/2023 17:53,23-Jan,12/15/2020,Adoption,,Dog,Neutered Male,2 years,Alaskan Malamute Mix,White/Black
A871630,Mars,1/7/2023 18:07,23-Jan,10/24/2022,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A871687,Willoughby,1/7/2023 18:07,23-Jan,12/28/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Black/White
A871815,Simon,1/7/2023 18:32,23-Jan,12/30/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,White/Orange Tabby
A868639,Peri,1/8/2023 13:11,23-Jan,1/5/2014,Adoption,,Cat,Spayed Female,9 years,Domestic Shorthair,Torbie
A871760,,1/8/2023 13:14,23-Jan,10/29/2022,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair,Calico/Black
A871953,Poppy,1/8/2023 13:14,23-Jan,1/3/2020,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Longhair,Tan
A872325,A872325,1/8/2023 13:19,23-Jan,1/7/2021,Transfer,Partner,Dog,Intact Female,2 years,Siberian Husky,Black/White
A872295,,1/8/2023 13:35,23-Jan,10/23/2022,Transfer,Partner,Cat,Intact Female,2 months,Domestic Medium Hair,Tortie
A871449,*Pancake,1/8/2023 14:06,23-Jan,6/23/2022,Transfer,Partner,Cat,Intact Female,6 months,Domestic Shorthair Mix,Calico
A871448,*Pop Tart,1/8/2023 14:06,23-Jan,6/23/2022,Transfer,Partner,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White
A737292,Cora,1/8/2023 14:08,23-Jan,10/25/2015,Return to Owner,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Black
A872258,Tiny,1/8/2023 14:08,23-Jan,1/6/2022,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair,Tortie
A872259,Fluffy,1/8/2023 14:08,23-Jan,1/6/2022,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair,Tortie
A871246,*Starla,1/8/2023 14:08,23-Jan,6/21/2022,Transfer,Partner,Cat,Intact Female,6 months,Domestic Shorthair,Tortie
A871181,Luca,1/8/2023 14:39,23-Jan,1/20/2022,Adoption,,Dog,Neutered Male,11 months,Pointer Mix,Brown/White
A869426,Reign,1/8/2023 15:45,23-Jan,8/1/2021,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Tan
A856628,Max,1/8/2023 16:11,23-Jan,12/5/2021,Adoption,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Tan
A872344,,1/8/2023 16:19,23-Jan,1/8/2020,Transfer,Partner,Dog,Intact Female,3 years,Pit Bull,White
A871192,*Keanu,1/8/2023 16:29,23-Jan,11/5/2022,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever,Black/White
A871009,*Triton,1/8/2023 16:41,23-Jan,6/17/2020,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Brown/Tan
A856733,Oliver,1/8/2023 17:30,23-Jan,1/6/2018,Return to Owner,,Dog,Neutered Male,5 years,Vizsla Mix,Red/White
A870475,*Comet,1/8/2023 17:43,23-Jan,10/30/2022,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black
